plate_10_A10.r1.fastq.gz,,17438117
plate_10_A11.r1.fastq.gz,,10980
plate_10_A12.r1.fastq.gz,,9768
plate_10_A1.r1.fastq.gz,,17893345
plate_10_A2.r1.fastq.gz,,17477646
plate_10_A3.r1.fastq.gz,,12123748
plate_10_A4.r1.fastq.gz,,14547728
plate_10_A5.r1.fastq.gz,,21617403
plate_10_A6.r1.fastq.gz,,20749658
plate_10_A7.r1.fastq.gz,,18778841
plate_10_A8.r1.fastq.gz,,10530375
plate_10_A9.r1.fastq.gz,,11813695
plate_10_B10.r1.fastq.gz,,12137669
plate_10_B11.r1.fastq.gz,,5878
plate_10_B12.r1.fastq.gz,,5500
plate_10_B1.r1.fastq.gz,,12961720
plate_10_B2.r1.fastq.gz,,20216824
plate_10_B3.r1.fastq.gz,,17025508
plate_10_B4.r1.fastq.gz,,20435324
plate_10_B5.r1.fastq.gz,,18232074
plate_10_B6.r1.fastq.gz,,15672103
plate_10_B7.r1.fastq.gz,,15774025
plate_10_B8.r1.fastq.gz,,16702964
plate_10_B9.r1.fastq.gz,,11825332
plate_10_C10.r1.fastq.gz,,17363200
plate_10_C11.r1.fastq.gz,,43061
plate_10_C12.r1.fastq.gz,,3559
plate_10_C1.r1.fastq.gz,,16036038
plate_10_C2.r1.fastq.gz,,12139516
plate_10_C3.r1.fastq.gz,,14215390
plate_10_C4.r1.fastq.gz,,19498062
plate_10_C5.r1.fastq.gz,,22613864
plate_10_C6.r1.fastq.gz,,14428883
plate_10_C7.r1.fastq.gz,,15824498
plate_10_C8.r1.fastq.gz,,19684877
plate_10_C9.r1.fastq.gz,,8156635
plate_10_D10.r1.fastq.gz,,9546354
plate_10_D11.r1.fastq.gz,,207661
plate_10_D12.r1.fastq.gz,,3236
plate_10_D1.r1.fastq.gz,,13095544
plate_10_D2.r1.fastq.gz,,17374071
plate_10_D3.r1.fastq.gz,,23401480
plate_10_D4.r1.fastq.gz,,19635308
plate_10_D5.r1.fastq.gz,,19987053
plate_10_D6.r1.fastq.gz,,18583021
plate_10_D7.r1.fastq.gz,,19996496
plate_10_D8.r1.fastq.gz,,21647917
