comparison,diff,lwr,upr,p adj,time_delta,test,padj_method,variable
Neomycin+ColiGuard-ColiGuard,-3.9901997577296,-18.116627468324,10.1362279528648,0.960440027755458,t2_t6,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Neomycin,5.24201296223731,-7.83651775021491,18.3205436746895,0.844627307617822,t2_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin,6.31178608066035,-7.81464162993403,20.4382137912547,0.775479340807338,t2_t6,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin+D-Scour,1.06977311842303,-13.0566545921713,15.1962008290174,0.99992045041701,t2_t6,anova,TukeyHSD,BWPD
D-Scour-Control,4.27092107581194,-10.0842847518484,18.6261269034722,0.95110604086829,t4_t8,anova,TukeyHSD,unrooted_PD
ColiGuard-Control,0.785126806647584,-12.9020249109468,14.472278524242,0.999980051799854,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin-Control,2.90772626579581,-10.7794254517986,16.5948779833902,0.98876720172265,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Control,0.213921847784314,-13.4732298698101,13.9010735653787,0.999999969567424,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Control,0.959810458858049,-13.3953953688023,15.3150162865183,0.999957342225416,t4_t8,anova,TukeyHSD,unrooted_PD
ColiGuard-D-Scour,-3.48579426916435,-17.8410000968247,10.8694115584959,0.97954180237379,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin-D-Scour,-1.36319481001613,-15.7184006376764,12.9920110176442,0.999759195699857,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-D-Scour,-4.05699922802762,-18.4122050556879,10.2982065996327,0.960567029517972,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-D-Scour,-3.31111061695389,-18.304634104398,11.6824128704902,0.986611060967673,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin-ColiGuard,2.12259945914822,-11.5645522584462,15.8097511767426,0.997410230089999,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-ColiGuard,-0.57120495886327,-14.2583566764577,13.1159467587311,0.999995901268579,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-ColiGuard,0.174683652210465,-14.1805221754498,14.5298894798708,0.999999991289177,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Neomycin,-2.69380441801149,-16.3809561356059,10.9933472995829,0.992084403843196,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin,-1.94791580693776,-16.3031216345981,12.4072900207225,0.99863296508143,t4_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Neomycin+D-Scour,0.745888611073736,-13.6093172165866,15.101094438734,0.999987798271794,t4_t8,anova,TukeyHSD,unrooted_PD
D-Scour-Control,-0.664546765338931,-11.790170524826,10.4610769941481,0.999975613339432,t4_t8,anova,TukeyHSD,BWPD
ColiGuard-Control,0.00136574720599097,-10.6065002894868,10.6092317838988,1,t4_t8,anova,TukeyHSD,BWPD
Neomycin-Control,-4.6785177428226,-15.2863837795154,5.92934829387019,0.785553827261346,t4_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Control,-2.91525133395648,-13.5231173706493,7.69261470273631,0.964980279657576,t4_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Control,-1.23784256129017,-12.3634663207772,9.88778119819686,0.999477465717085,t4_t8,anova,TukeyHSD,BWPD
ColiGuard-D-Scour,0.665912512544922,-10.4597112469421,11.791536272032,0.999975363587558,t4_t8,anova,TukeyHSD,BWPD
Neomycin-D-Scour,-4.01397097748367,-15.1395947369707,7.11165278200337,0.894776115448807,t4_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-D-Scour,-2.25070456861755,-13.3763283281046,8.87491919086949,0.99101720939035,t4_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-D-Scour,-0.573295795951241,-12.1936308265304,11.0470392346279,0.999990570315965,t4_t8,anova,TukeyHSD,BWPD
Neomycin-ColiGuard,-4.67988349002859,-15.2877495267214,5.9279825466642,0.785348492797676,t4_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-ColiGuard,-2.91661708116247,-13.5244831178553,7.69124895553032,0.964910291223261,t4_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-ColiGuard,-1.23920830849616,-12.3648320679832,9.88641545099087,0.999474650507358,t4_t8,anova,TukeyHSD,BWPD
Neomycin+D-Scour-Neomycin,1.76326640886612,-8.84459962782666,12.3711324455589,0.996402230956679,t4_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin,3.44067518153243,-7.68494857795461,14.5662989410195,0.942667300000997,t4_t8,anova,TukeyHSD,BWPD
Neomycin+ColiGuard-Neomycin+D-Scour,1.67740877266631,-9.44821498682073,12.8030325321533,0.997735488696698,t4_t8,anova,TukeyHSD,BWPD
D-Scour-Control,3.44667782913108,-13.0741193560922,19.9674750143544,0.989657469607465,t0_t8,anova,TukeyHSD,unrooted_PD
ColiGuard-Control,1.81777249813754,-13.9341895624867,17.5697345587618,0.999375775539623,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin-Control,5.20953690165654,-10.5424251589677,20.9614989622808,0.924896634843909,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-Control,2.07210106330111,-13.6798609973232,17.8240631239254,0.998822880905815,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-Control,0.449356846099898,-16.0714403391234,16.9701540313232,0.999999515478114,t0_t8,anova,TukeyHSD,unrooted_PD
ColiGuard-D-Scour,-1.62890533099355,-18.1497025162168,14.8918918542297,0.999710484713832,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin-D-Scour,1.76285907252546,-14.7579381126978,18.2836562577487,0.99957385304608,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-D-Scour,-1.37457676582997,-17.8953739510532,15.1462204193933,0.999874308884359,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+ColiGuard-D-Scour,-2.99732098303118,-20.2527308741701,14.2580889081078,0.99557386325759,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin-ColiGuard,3.391764403519,-12.3601976571053,19.1437264641433,0.988058343253003,t0_t8,anova,TukeyHSD,unrooted_PD
Neomycin+D-Scour-ColiGuard,0.254328565163575,-15.4976334954607,16.0062906257879,0.999999964199109,t0_t8,anova,TukeyHSD,unrooted_PD
