DNA_plate,DNA_well,metric,value,analysis
plate_10,G3,unrooted_pd,133.02,100K
plate_10,G3,bwpd,1.91442,100K
plate_10,G4,unrooted_pd,123.802,100K
plate_10,G4,bwpd,2.01931,100K
plate_10,G5,unrooted_pd,121.234,100K
plate_10,G5,bwpd,2.17357,100K
plate_10,G6,unrooted_pd,109.193,100K
plate_10,G6,bwpd,2.03882,100K
plate_10,G7,unrooted_pd,118.63,100K
plate_10,G7,bwpd,2.23024,100K
plate_10,G8,unrooted_pd,127.012,100K
plate_10,G8,bwpd,1.98347,100K
plate_10,G9,unrooted_pd,104.116,100K
plate_10,G9,bwpd,2.06532,100K
plate_10,H10,unrooted_pd,121.903,100K
plate_10,H10,bwpd,2.0268,100K
plate_10,H1,unrooted_pd,126.931,100K
plate_10,H1,bwpd,2.07849,100K
plate_10,H2,unrooted_pd,125.992,100K
plate_10,H2,bwpd,1.97401,100K
plate_10,H3,unrooted_pd,121.638,100K
plate_10,H3,bwpd,1.90334,100K
plate_10,H4,unrooted_pd,134.439,100K
plate_10,H4,bwpd,2.19675,100K
plate_10,H5,unrooted_pd,126.345,100K
plate_10,H5,bwpd,2.09251,100K
plate_10,H6,unrooted_pd,118.045,100K
plate_10,H6,bwpd,2.0662,100K
plate_10,H7,unrooted_pd,134.723,100K
plate_10,H7,bwpd,2.19271,100K
plate_10,H8,unrooted_pd,118.636,100K
plate_10,H8,bwpd,2.23051,100K
plate_10,H9,unrooted_pd,118.859,100K
plate_10,H9,bwpd,2.13238,100K
plate_1,A10,unrooted_pd,118.676,100K
plate_1,A10,bwpd,2.29163,100K
plate_1,A11,unrooted_pd,109.692,100K
plate_1,A11,bwpd,2.13323,100K
plate_1,A12,unrooted_pd,136.942,100K
plate_1,A12,bwpd,2.07269,100K
plate_1,A1,unrooted_pd,9.62971,100K
plate_1,A1,bwpd,1.70163,100K
plate_1,A2,unrooted_pd,113.321,100K
plate_1,A2,bwpd,2.15192,100K
plate_1,A3,unrooted_pd,133.392,100K
plate_1,A3,bwpd,2.15586,100K
plate_1,A4,unrooted_pd,101.224,100K
plate_1,A4,bwpd,2.2704,100K
plate_1,A5,unrooted_pd,121.343,100K
plate_1,A5,bwpd,1.98311,100K
plate_1,A6,unrooted_pd,130.151,100K
plate_1,A6,bwpd,2.14425,100K
plate_1,A7,unrooted_pd,131.505,100K
plate_1,A7,bwpd,2.21682,100K
plate_1,A8,unrooted_pd,112.239,100K
plate_1,A8,bwpd,2.12909,100K
