rn,comparison,diff,lwr,upr,p adj,time_delta,test,padj_method
1,D-Scour-Control,1.30887491541664,-7.70299196713112,10.3207417979644,0.998133935463565,t0_t2,anova,TukeyHSD
2,ColiGuard-Control,3.67339879175942,-5.61161675017241,12.9584143336913,0.853643823888447,t0_t2,anova,TukeyHSD
3,Neomycin-Control,3.29939135460797,-5.98562418732386,12.5844068965398,0.90171570253253,t0_t2,anova,TukeyHSD
4,Neomycin+D-Scour-Control,1.80679975280127,-7.64492597214638,11.2585254777489,0.993179472736052,t0_t2,anova,TukeyHSD
5,Neomycin+ColiGuard-Control,2.97961208786062,-6.89239346574971,12.851617641471,0.948722839722237,t0_t2,anova,TukeyHSD
6,ColiGuard-D-Scour,2.36452387634278,-6.00020951284324,10.7292572655288,0.961012428355773,t0_t2,anova,TukeyHSD
7,Neomycin-D-Scour,1.99051643919133,-6.37421694999469,10.3552498283773,0.981540718462633,t0_t2,anova,TukeyHSD
8,Neomycin+D-Scour-D-Scour,0.497924837384629,-8.05148275834298,9.04733243311224,0.999978827687213,t0_t2,anova,TukeyHSD
9,Neomycin+ColiGuard-D-Scour,1.67073717244398,-7.34112971010378,10.6826040549917,0.994084369054568,t0_t2,anova,TukeyHSD
10,Neomycin-ColiGuard,-0.374007437151457,-9.03232907458893,8.28431420028602,0.999995210826169,t0_t2,anova,TukeyHSD
11,Neomycin+D-Scour-ColiGuard,-1.86659903895815,-10.7034615558835,6.97026347796716,0.989206926867627,t0_t2,anova,TukeyHSD
12,Neomycin+ColiGuard-ColiGuard,-0.6937867038988,-9.97880224583063,8.59122883803303,0.99992722644358,t0_t2,anova,TukeyHSD
13,Neomycin+D-Scour-Neomycin,-1.4925916018067,-10.329454118732,7.34427091511861,0.996176508890093,t0_t2,anova,TukeyHSD
14,Neomycin+ColiGuard-Neomycin,-0.319779266747343,-9.60479480867917,8.96523627518449,0.999998451605888,t0_t2,anova,TukeyHSD
15,Neomycin+ColiGuard-Neomycin+D-Scour,1.17281233505935,-8.2789133898883,10.624538060007,0.999125768038212,t0_t2,anova,TukeyHSD
16,D-Scour-Control,5.515247542166,0.036661053514333,10.9938340308177,0.0475471680619221,t2_t4,anova,TukeyHSD
17,ColiGuard-Control,3.87769235061211,-1.76694947087996,9.52233417210418,0.344724503707751,t2_t4,anova,TukeyHSD
18,Neomycin-Control,2.18663442598526,-3.45800739550681,7.83127624747733,0.864351304860636,t2_t4,anova,TukeyHSD
19,Neomycin+D-Scour-Control,5.12741225142555,-0.618577733337761,10.8734022361889,0.107051016510466,t2_t4,anova,TukeyHSD
20,Neomycin+ColiGuard-Control,3.01184161346396,-2.98964919269112,9.01333241961904,0.682776022944432,t2_t4,anova,TukeyHSD
21,ColiGuard-D-Scour,-1.63755519155389,-6.72272965367513,3.44761927056734,0.933227533752662,t2_t4,anova,TukeyHSD
22,Neomycin-D-Scour,-3.32861311618074,-8.41378757830198,1.75656134594049,0.399077517272078,t2_t4,anova,TukeyHSD
23,Neomycin+D-Scour-D-Scour,-0.387835290740451,-5.5852787894495,4.8096082079686,0.999927710025906,t2_t4,anova,TukeyHSD
24,Neomycin+ColiGuard-D-Scour,-2.50340592870204,-7.98199241735371,2.97518055994962,0.761439138085266,t2_t4,anova,TukeyHSD
25,Neomycin-ColiGuard,-1.69105792462685,-6.95471356396257,3.57259771470887,0.933854689853121,t2_t4,anova,TukeyHSD
26,Neomycin+D-Scour-ColiGuard,1.24971990081344,-4.12247614005976,6.62191594168664,0.983315522858685,t2_t4,anova,TukeyHSD
27,Neomycin+ColiGuard-ColiGuard,-0.865850737148151,-6.51049255864022,4.77879108434392,0.99757782763361,t2_t4,anova,TukeyHSD
28,Neomycin+D-Scour-Neomycin,2.94077782544029,-2.43141821543291,8.31297386631349,0.597573518252539,t2_t4,anova,TukeyHSD
29,Neomycin+ColiGuard-Neomycin,0.8252071874787,-4.81943463401337,6.46984900897077,0.998074547146965,t2_t4,anova,TukeyHSD
30,Neomycin+ColiGuard-Neomycin+D-Scour,-2.11557063796159,-7.8615606227249,3.63041934680172,0.887568482643035,t2_t4,anova,TukeyHSD
31,D-Scour-Control,-5.20110177301274,-10.9738269228887,0.571623376863221,0.0991545336901868,t4_t6,anova,TukeyHSD
32,ColiGuard-Control,-7.07719159320906,-12.849916743085,-1.3044664433331,0.00840905511241041,t4_t6,anova,TukeyHSD
33,Neomycin-Control,-1.91309172791425,-7.81639583483898,3.99021237901048,0.926704984420113,t4_t6,anova,TukeyHSD
34,Neomycin+D-Scour-Control,-5.40942492968943,-11.4719989731436,0.653149113764753,0.104960415897258,t4_t6,anova,TukeyHSD
35,Neomycin+ColiGuard-Control,-8.72897997231042,-14.9903795204297,-2.4675804241911,0.00191970977301559,t4_t6,anova,TukeyHSD
36,ColiGuard-D-Scour,-1.87608982019632,-7.11475253226627,3.36257289187363,0.892231236333617,t4_t6,anova,TukeyHSD
37,Neomycin-D-Scour,3.28801004509849,-2.09420425142075,8.67022434161773,0.464892557207755,t4_t6,anova,TukeyHSD
38,Neomycin+D-Scour-D-Scour,-0.208323156676695,-5.76476404875736,5.34811773540397,0.999997394564429,t4_t6,anova,TukeyHSD
39,Neomycin+ColiGuard-D-Scour,-3.52787819929768,-9.30060334917364,2.24484695057828,0.464479125165791,t4_t6,anova,TukeyHSD
40,Neomycin-ColiGuard,5.16409986529481,-0.218114431224433,10.5463141618141,0.0667114337125265,t4_t6,anova,TukeyHSD
