isolation_source,collection_date,Cohort,pc1,pc2,pc3,pc4,pc5
14286,t0,Control,1.04067891086311,0.927155558949277,0.894932043536065,0.106340489901234,4.53646840634678
29962,t0,Control,1.1716209478666,2.78634191182391,-0.118489718175432,-0.91763211014445,5.24683162164402
29707,t0,Control,1.40671970758026,3.79418148346531,0.0288011089642448,-1.28114901189003,5.06585329966526
14322,t0,Control,1.85417847061661,3.57591854033511,-0.176999266496071,-1.25929711935988,5.36276491717136
29913,t0,Control,1.90494033975105,2.80912120229827,0.293438786872082,-1.12985647667322,5.18749439676793
14187,t0,Control,1.75241051881675,3.63948629215795,-0.269273858454848,-1.3261265179469,5.4390270482059
29912,t0,Control,1.69991141996684,2.70783138391892,-0.336268746885431,-0.896361186230872,5.29953766884903
14160,t0,Control,1.34707263963988,2.09509436659966,0.412559451517472,-0.141483469310062,5.17915440648118
29665,t0,Control,1.79341614501835,2.70821938307209,0.0903496521537749,-0.974539360527882,5.50096182894725
29939,t0,Control,0.706411600312219,2.5790789185695,1.16378085907484,0.191819713883434,5.30351327969157
14161,t0,Control,1.52420220406055,2.08903729731783,-0.39970984726286,-0.703247019208964,5.27499539220385
29705,t0,Control,0.0105142257697199,3.09770378407796,0.239311899377116,-0.515789310849342,4.93339494874539
29654,t0,Control,0.692434274750754,2.84943244758161,1.13173093240201,-0.648237639647773,4.83432529432235
29898,t0,Control,1.05463925444555,3.06075273184155,0.422772256837349,-0.812301381397963,4.97099812767048
29631,t0,Control,1.79473862230285,3.5299663259445,0.189485931748761,-0.924028705036209,5.59896041036365
14277,t0,Control,1.20450486741743,2.71084110304992,0.285462732185158,-0.522502174334529,5.23971866315313
14184,t0,Control,2.00132715472626,2.59623805482903,-0.254066911132261,-0.911747764357189,5.73481211551926
14204,t0,Control,1.34391689299063,3.43763468890438,0.421915375641636,-0.778761266008655,5.58873830858316
14182,t0,Control,1.44139044585133,2.6841286409192,0.190114422382573,-0.780279183178099,5.36793464141656
29666,t0,Control,1.86431105442402,2.84676589862497,0.107745033275615,-1.00596740840915,5.30895160242429
29948,t0,Control,1.65460391874528,1.99331512278703,0.0520742157433642,-0.664857529366601,5.49761380043212
29945,t0,Control,1.59136281784228,3.36791098365547,-0.111231428301787,-1.17326359613699,5.49942280321888
14271,t0,Control,1.64585134563673,3.10364132666024,0.122878488281095,-0.967822435672249,4.98859278495732
29867,t0,Control,1.58115942326616,2.98634995500768,-0.0659107142596349,-0.834477187632277,5.47263296185256
14200,t0,Control,1.89555015083813,1.41383251136787,-0.0681344527315356,-0.628297395969744,5.17372431434377
29706,t0,Control,1.15225595823174,2.36290867718235,0.152254577171921,-0.623531083417903,5.29220789020412
29876,t0,Control,1.14080147541474,3.40146316538578,0.219630224868735,-0.959233461362716,5.170914965688
14169,t0,Control,0.723786955842137,2.47369476189646,0.378211134382782,-0.744630004463655,4.80528489802541
14315,t0,Control,1.84410588998286,2.83811953474704,-0.208624527435193,-1.06543995892538,5.58325999764651
29764,t0,Control,1.68411112628978,3.04707621571963,-0.13106139550788,-1.22370089567993,5.20346839299642
29765,t0,D-Scour,1.32250507313523,2.54292739712076,0.0491327532875742,-0.748710884772198,5.38629833295943
14159,t0,D-Scour,2.14378876576342,2.37553546209772,-0.51211247942715,-1.11049279364949,5.54148172538633
14205,t0,D-Scour,1.96678106327129,2.90698259764009,-0.0550472739588356,-1.09565567060075,5.55050667891567
29752,t0,D-Scour,1.62681635094258,2.6860471127711,-0.265435911036482,-1.02630407286955,5.56085073300103
29875,t0,D-Scour,1.44264368130171,3.18335716217431,-0.153323222735467,-0.77149784526099,5.57615124317899
29644,t0,D-Scour,0.53516785719467,3.33154439185039,0.349185184015917,-0.820457715913707,5.16254206816083
29914,t0,D-Scour,1.79783902983845,2.10535663642566,0.690925880281873,-0.893996039988483,5.003886612055
14276,t0,D-Scour,1.33386315684874,2.73922739111886,1.06038474267957,-0.575309675844345,5.11931340650624
14172,t0,D-Scour,1.7784646216549,3.3455999266783,-0.396882397285321,-1.13564766911325,5.52628110225546
14233,t0,D-Scour,0.783267660810329,3.21809288244034,0.445933702222861,-0.457024152911125,5.3956691433137
29792,t0,D-Scour,1.84057434238561,2.61545652831385,0.0300168407242588,-1.06196331541906,5.35968050834194
29864,t0,D-Scour,1.93453007847771,1.91367861201183,0.0607855333716214,-0.803374893436696,5.47302098539479
29778,t0,D-Scour,1.41693009896432,3.29496320209203,0.0235872756790872,-0.727615410746614,5.60772185634751
14317,t0,D-Scour,1.81604591112068,2.30982595337159,-0.460196603881785,-0.796275238998784,5.75573975088164
29742,t0,D-Scour,1.49684203751734,2.67518870709896,0.924962719803814,-0.692121518444209,5.30437851415441
14273,t0,D-Scour,1.44654205584429,3.68135781618834,-0.249440314178104,-1.09334276717102,5.22799246710142
29846,t0,D-Scour,1.79983212831784,2.88000056271151,0.113014742551969,-0.984909408220647,5.34379070533965
29924,t0,ColiGuard,1.94233782964983,3.16505234973351,-0.520567789534816,-1.16409140804486,5.36536090856389
14209,t0,ColiGuard,1.57389624458055,3.23390733171684,0.0826646304194187,-0.975769937262903,5.60993162655411
14284,t0,ColiGuard,1.6105442981721,1.84691001094397,-0.422306746957382,-0.626891803436402,5.32738320737489
14275,t0,ColiGuard,1.27689796321379,2.88530238202145,0.533393854865291,-0.75479793656968,5.03493425661409
14188,t0,ColiGuard,1.526273907279,3.12483038903163,0.170469165382524,-0.868562024875224,5.44724015619913
14307,t0,ColiGuard,0.77305431522545,2.30462997724777,1.46654600214096,0.412166384280511,5.35941798487804
